id,time,count
0,10:00,0
1,10:15,0
0,10:30,1
1,10:45,1
2,11:00,1
3,11:15,3
4,11:30,2
5,11:45,1
6,12:00,3
7,12:15,5
8,12:30,5
9,12:45,1
10,13:00,3
11,13:15,3
12,13:30,2
13,13:45,2
14,14:00,1
15,14:15,2
16,14:30,2
19,14:45,0
17,15:00,2
21,15:15,0
22,15:30,0
18,15:45,2
24,16:00,0
19,16:15,1
20,16:30,1
21,16:45,1
22,17:00,2
23,17:15,1
24,17:30,4
25,17:45,4
26,18:00,9
27,18:15,15
28,18:30,14
29,18:45,10
30,19:00,13
31,19:15,12
32,19:30,13
33,19:45,13
34,20:00,9
35,20:15,8
36,20:30,7
37,20:45,8
38,21:00,3
39,21:15,3
40,21:30,2
47,21:45,0
48,22:00,0
