duration,distance
132.0,1336.0
426.0,3702.0
707.0,8354.0
163.0,1521.0
437.0,3818.0
626.0,7670.0
566.0,5879.0
626.0,7670.0
344.0,3122.0
205.0,1730.0
527.0,5594.0
733.0,9933.0
175.0,1377.0
377.0,3581.0
58.0,508.0
267.0,2350.0
657.0,9338.0
176.0,1533.0
274.0,2557.0
367.0,2918.0
322.0,2650.0
447.0,4843.0
67.0,623.0
243.0,2184.0
402.0,3849.0
246.0,1981.0
277.0,2380.0
626.0,7670.0
626.0,7670.0
130.0,1276.0
224.0,1815.0
665.0,7901.0
138.0,1142.0
626.0,7670.0
234.0,2026.0
276.0,2388.0
626.0,7670.0
285.0,2365.0
287.0,2531.0
220.0,1741.0
352.0,2738.0
707.0,8354.0
287.0,2363.0
707.0,8354.0
262.0,2295.0
626.0,7670.0
707.0,8354.0
626.0,7670.0
187.0,1667.0
505.0,4994.0
707.0,8354.0
626.0,7670.0
705.0,8445.0
629.0,6226.0
707.0,8354.0
626.0,7670.0
161.0,1362.0
624.0,6515.0
82.0,573.0
239.0,2076.0
230.0,2015.0
329.0,2645.0
175.0,1566.0
314.0,2670.0
77.0,646.0
113.0,990.0
314.0,2670.0
143.0,1274.0
685.0,6474.0
626.0,7670.0
626.0,7670.0
626.0,7670.0
381.0,3574.0
264.0,2014.0
158.0,1471.0
266.0,1850.0
163.0,1521.0
292.0,2357.0
214.0,1878.0
707.0,8354.0
366.0,3490.0
699.0,8374.0
626.0,7670.0
626.0,7670.0
234.0,1943.0
523.0,4386.0
699.0,8374.0
626.0,7772.0
103.0,880.0
707.0,8354.0
626.0,7670.0
541.0,6766.0
699.0,8374.0
624.0,6515.0
697.0,6754.0
542.0,6899.0
626.0,7670.0
292.0,2309.0
622.0,6884.0
580.0,5326.0
707.0,8354.0
168.0,1319.0
316.0,2598.0
265.0,2513.0
138.0,1142.0
167.0,1485.0
134.0,1127.0
352.0,2738.0
265.0,2513.0
320.0,2788.0
296.0,2312.0
299.0,2574.0
621.0,7471.0
262.0,2295.0
273.0,2690.0
282.0,2512.0
133.0,1263.0
100.0,906.0
626.0,7670.0
399.0,3677.0
626.0,7670.0
334.0,2999.0
250.0,2035.0
545.0,5723.0
626.0,7670.0
335.0,2712.0
248.0,2326.0
707.0,8354.0
170.0,1466.0
699.0,8374.0
262.0,2295.0
314.0,2906.0
527.0,5594.0
160.0,1660.0
626.0,7670.0
227.0,1900.0
285.0,2365.0
626.0,7670.0
699.0,8374.0
326.0,2661.0
324.0,2760.0
699.0,8374.0
262.0,2226.0
431.0,4146.0
258.0,2178.0
220.0,2004.0
626.0,7670.0
277.0,2395.0
641.0,8446.0
208.0,1755.0
268.0,2302.0
626.0,7670.0
626.0,7670.0
310.0,3083.0
626.0,7670.0
242.0,2060.0
910.0,15056.0
707.0,8354.0
58.0,508.0
285.0,2365.0
264.0,2014.0
626.0,7670.0
626.0,7670.0
176.0,1579.0
626.0,7670.0
163.0,1521.0
230.0,2172.0
621.0,7471.0
349.0,2846.0
601.0,5962.0
626.0,7670.0
626.0,7670.0
318.0,2624.0
239.0,2033.0
707.0,8354.0
399.0,3712.0
223.0,1747.0
352.0,2738.0
707.0,8354.0
705.0,8445.0
431.0,4854.0
201.0,1968.0
331.0,3023.0
190.0,1609.0
437.0,3811.0
208.0,1755.0
707.0,8354.0
292.0,2207.0
377.0,3277.0
221.0,1758.0
707.0,8354.0
237.0,1965.0
386.0,3515.0
316.0,2598.0
423.0,3621.0
518.0,5898.0
122.0,941.0
314.0,2670.0
626.0,7670.0
699.0,8374.0
551.0,5973.0
360.0,3443.0
484.0,4390.0
292.0,2309.0
723.0,10076.0
1152.0,14712.0
499.0,5311.0
330.0,2949.0
216.0,1833.0
852.0,10244.0
626.0,7670.0
626.0,7670.0
304.0,3008.0
145.0,1247.0
252.0,2136.0
314.0,2906.0
273.0,2608.0
707.0,8354.0
573.0,5835.0
299.0,2574.0
626.0,7670.0
389.0,3636.0
175.0,1566.0
183.0,1581.0
754.0,11792.0
458.0,5110.0
272.0,2308.0
156.0,1368.0
123.0,1150.0
626.0,7670.0
62.0,588.0
699.0,8374.0
211.0,1891.0
240.0,1745.0
361.0,3274.0
178.0,1557.0
707.0,8354.0
335.0,2712.0
527.0,5594.0
686.0,7433.0
807.0,11134.0
626.0,7670.0
254.0,1993.0
305.0,2396.0
431.0,4854.0
334.0,3186.0
228.0,1925.0
146.0,1312.0
607.0,5817.0
152.0,1377.0
626.0,7670.0
657.0,9338.0
707.0,8354.0
207.0,1848.0
481.0,4132.0
626.0,7670.0
133.0,1201.0
272.0,2442.0
406.0,3569.0
707.0,8354.0
293.0,2668.0
152.0,1286.0
293.0,2481.0
196.0,1696.0
478.0,6246.0
129.0,1037.0
626.0,7670.0
699.0,8374.0
351.0,2770.0
621.0,7471.0
464.0,4117.0
324.0,2760.0
375.0,3382.0
626.0,7670.0
312.0,2544.0
626.0,7670.0
239.0,1839.0
458.0,4013.0
707.0,8354.0
215.0,1528.0
198.0,1673.0
470.0,4707.0
275.0,2516.0
626.0,7670.0
210.0,1846.0
114.0,1076.0
160.0,1535.0
626.0,7670.0
88.0,709.0
421.0,3374.0
626.0,7670.0
266.0,2219.0
501.0,4057.0
621.0,7471.0
215.0,1720.0
626.0,7670.0
365.0,3329.0
321.0,3175.0
626.0,7670.0
616.0,6685.0
344.0,3043.0
626.0,7670.0
527.0,5594.0
217.0,2052.0
173.0,1192.0
422.0,4060.0
699.0,8374.0
626.0,7670.0
157.0,1595.0
626.0,7670.0
349.0,2846.0
263.0,2092.0
707.0,8354.0
196.0,1545.0
109.0,881.0
442.0,4180.0
443.0,4125.0
602.0,6353.0
244.0,2407.0
70.0,564.0
180.0,1561.0
287.0,2739.0
707.0,8354.0
150.0,1165.0
152.0,1104.0
626.0,7670.0
626.0,7670.0
303.0,3030.0
186.0,1578.0
626.0,7670.0
707.0,8354.0
399.0,3920.0
406.0,3569.0
168.0,1319.0
190.0,1862.0
240.0,1745.0
311.0,2347.0
699.0,8374.0
539.0,5777.0
386.0,3515.0
699.0,8374.0
304.0,2525.0
285.0,2365.0
172.0,1449.0
626.0,7670.0
366.0,2874.0
255.0,2178.0
202.0,1729.0
626.0,7670.0
267.0,2301.0
152.0,1175.0
251.0,1861.0
262.0,2222.0
626.0,7670.0
372.0,3344.0
283.0,2384.0
860.0,9655.0
612.0,7483.0
273.0,2264.0
699.0,8374.0
626.0,7670.0
349.0,3151.0
264.0,2014.0
626.0,7670.0
707.0,8354.0
254.0,1993.0
626.0,7670.0
626.0,7670.0
504.0,5350.0
266.0,2314.0
295.0,2555.0
860.0,9655.0
138.0,1142.0
324.0,3232.0
160.0,1055.0
626.0,7670.0
385.0,3305.0
67.0,623.0
237.0,1758.0
285.0,2365.0
60.0,368.0
316.0,2992.0
17.0,170.0
182.0,1794.0
626.0,7670.0
626.0,7670.0
486.0,4629.0
626.0,7670.0
296.0,2668.0
187.0,1432.0
332.0,3048.0
345.0,2715.0
163.0,1521.0
626.0,7670.0
626.0,7670.0
626.0,7670.0
613.0,5996.0
276.0,2601.0
291.0,2767.0
314.0,2670.0
626.0,7670.0
137.0,1062.0
95.0,788.0
326.0,2661.0
707.0,8354.0
403.0,3779.0
138.0,1142.0
172.0,1601.0
699.0,6649.0
259.0,1906.0
318.0,2798.0
145.0,1000.0
254.0,2144.0
475.0,3898.0
210.0,1846.0
626.0,7670.0
373.0,2808.0
234.0,1943.0
314.0,2670.0
280.0,2183.0
58.0,486.0
