,node_id,lat,lon,delivery_ids,tot_usage
0,597811237,46.5151835,6.6351288,"[214, 661, 732, 908, 1236, 1422, 1888]",7
1,4212883643,46.5238689,6.6542489,"[1, 184, 221, 234, 270, 305, 339, 381, 520, 567, 611, 695, 705, 853, 912, 1131, 1235, 1265, 1311, 1312, 1345, 1415, 1475, 1560, 1594, 1622, 1777, 1870]",28
2,582701512,46.5394153,6.6213895,"[11, 13, 16, 204, 251, 264, 300, 433, 470, 576, 652, 677, 747, 756, 764, 779, 780, 788, 861, 875, 960, 988, 996, 1029, 1193, 1279, 1299, 1362, 1469, 1499, 1568, 1848]",32
4,5286036493,46.51271129999999,6.559203299999999,"[432, 653, 1292, 1406, 1435, 1904, 1968]",7
6,5340504048,46.5057191,6.675422500000002,"[57, 93, 218, 408, 563, 600, 638, 765, 841, 1294, 1309, 1450, 1696]",13
10,253092251,46.5209759,6.616641199999999,"[10, 21, 37, 61, 121, 123, 132, 136, 156, 159, 180, 191, 200, 224, 238, 244, 258, 296, 302, 317, 332, 338, 342, 349, 368, 369, 379, 405, 423, 435, 438, 510, 516, 517, 527, 543, 561, 562, 566, 605, 612, 615, 635, 641, 648, 650, 686, 703, 722, 755, 791, 803, 836, 840, 857, 858, 859, 990, 1011, 1097, 1100, 1104, 1112, 1117, 1119, 1134, 1138, 1152, 1164, 1230, 1242, 1320, 1348, 1406, 1425, 1434, 1435, 1451, 1455, 1482, 1494, 1495, 1500, 1501, 1518, 1555, 1596, 1602, 1673, 1690, 1694, 1705, 1727, 1728, 1835, 1855, 1892, 1905, 1909, 1925, 1992]",101
11,597811342,46.5166179,6.6332439,"[75, 97, 203, 900, 1572, 1644]",6
12,599023989,46.5372774,6.6209774,"[323, 376, 557, 660, 1155, 1314]",6
17,3090820936,46.5219175,6.6465335,"[38, 145, 216, 245, 272, 604, 630, 678, 848, 898, 957, 1091, 1128, 1161, 1356, 1396, 1403, 1444, 1681, 1806, 1817, 1879, 1941]",23
18,318536592,46.5239987,6.5926651,"[10, 21, 123, 132, 180, 195, 200, 225, 238, 244, 302, 317, 338, 368, 423, 432, 438, 484, 510, 527, 543, 561, 605, 644, 686, 703, 791, 803, 836, 840, 859, 977, 1011, 1097, 1100, 1112, 1138, 1230, 1247, 1292, 1320, 1406, 1425, 1434, 1435, 1447, 1482, 1494, 1500, 1522, 1555, 1596, 1673, 1690, 1727, 1839, 1889, 1892, 1904, 1909, 1968, 1992]",62
24,563021342,46.5183802,6.6366978,"[35, 94, 106, 128, 142, 200, 212, 218, 248, 257, 261, 276, 303, 341, 352, 369, 374, 376, 409, 424, 454, 524, 600, 607, 638, 662, 663, 684, 722, 732, 739, 758, 776, 778, 866, 913, 964, 990, 994, 998, 1006, 1009, 1048, 1079, 1135, 1168, 1191, 1227, 1230, 1234, 1236, 1257, 1261, 1277, 1293, 1294, 1309, 1326, 1328, 1342, 1352, 1365, 1367, 1418, 1452, 1501, 1529, 1630, 1655, 1684, 1702, 1715, 1726, 1767, 1776, 1800, 1837, 1845, 1847, 1885, 1931]",81
32,580046878,46.5265956,6.6514072,"[1, 63, 66, 85, 98, 109, 126, 184, 197, 221, 234, 270, 289, 292, 294, 299, 305, 339, 381, 390, 399, 418, 498, 520, 567, 583, 601, 611, 674, 695, 705, 820, 853, 912, 1027, 1131, 1195, 1235, 1265, 1311, 1312, 1345, 1376, 1415, 1459, 1472, 1475, 1488, 1546, 1560, 1574, 1594, 1599, 1622, 1668, 1739, 1745, 1764, 1777, 1870, 1898]",61
33,304577577,46.5152439,6.6156238,"[19, 23, 35, 40, 107, 163, 166, 177, 188, 268, 474, 482, 681, 928, 938, 946, 1092, 1198, 1228, 1238, 1325, 1382, 1536, 1562, 1578, 1913, 1999]",27
34,5273357406,46.5237559,6.606043400000001,"[10, 21, 123, 132, 180, 195, 200, 225, 238, 244, 258, 302, 317, 332, 338, 368, 405, 423, 432, 438, 484, 510, 516, 527, 543, 561, 566, 605, 635, 644, 686, 703, 722, 791, 803, 836, 840, 859, 977, 1011, 1097, 1100, 1112, 1119, 1138, 1230, 1247, 1292, 1320, 1406, 1425, 1432, 1434, 1435, 1447, 1482, 1494, 1500, 1522, 1555, 1596, 1602, 1673, 1690, 1694, 1727, 1728, 1839, 1889, 1892, 1904, 1909, 1968, 1992]",74
35,573250813,46.527538,6.6339198,"[428, 1497, 1607, 1710, 1828, 1857]",6
37,1789818946,46.5350541,6.5926819000000005,"[202, 891, 1003, 1419, 1529, 1648]",6
41,3076686913,46.5214254,6.6403761,"[1, 26, 38, 42, 62, 63, 66, 78, 85, 91, 98, 109, 126, 145, 184, 197, 208, 216, 221, 222, 234, 235, 243, 245, 253, 263, 270, 272, 289, 292, 294, 299, 305, 313, 314, 320, 339, 355, 370, 381, 389, 390, 399, 416, 418, 421, 426, 439, 443, 447, 448, 450, 490, 492, 498, 520, 567, 583, 595, 601, 604, 611, 617, 621, 630, 647, 648, 649, 654, 657, 672, 674, 678, 686, 695, 705, 771, 773, 800, 820, 848, 853, 855, 869, 896, 898, 902, 912, 920, 921, 943, 947, 957, 963, 980, 989, 1005, 1013, 1027, 1028, 1054, 1063, 1086, 1091, 1104, 1114, 1128, 1131, 1132, 1161, 1184, 1192, 1195, 1199, 1202, 1209, 1226, 1235, 1255, 1265, 1271, 1272, 1311, 1312, 1332, 1345, 1356, 1376, 1390, 1403, 1409, 1413, 1415, 1424, 1433, 1444, 1449, 1459, 1465, 1472, 1475, 1488, 1527, 1534, 1546, 1553, 1557, 1560, 1574, 1594, 1599, 1615, 1622, 1639, 1652, 1658, 1668, 1674, 1681, 1685, 1687, 1688, 1693, 1724, 1739, 1745, 1750, 1764, 1777, 1794, 1804, 1806, 1817, 1835, 1853, 1870, 1873, 1879, 1884, 1898, 1920, 1929, 1941, 1956, 1969, 1977]",186
