id,time,count
0,10:00,0
1,10:15,0
0,10:30,1
1,10:45,1
2,11:00,3
3,11:15,33
4,11:30,17
5,11:45,12
6,12:00,10
7,12:15,13
8,12:30,15
9,12:45,4
10,13:00,18
11,13:15,12
12,13:30,9
13,13:45,7
14,14:00,3
15,14:15,2
16,14:30,8
19,14:45,0
17,15:00,5
21,15:15,0
22,15:30,0
18,15:45,2
24,16:00,0
19,16:15,1
20,16:30,2
21,16:45,2
22,17:00,8
23,17:15,2
24,17:30,13
25,17:45,23
26,18:00,102
27,18:15,217
28,18:30,204
29,18:45,136
30,19:00,212
31,19:15,163
32,19:30,219
33,19:45,173
34,20:00,91
35,20:15,90
36,20:30,67
37,20:45,44
38,21:00,33
39,21:15,18
40,21:30,5
47,21:45,0
48,22:00,0
